gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD3D	0	3.2993036943151304	0.99	0.065	0
IL32	2.4492228735039218e-226	1.8725176677640154	0.88	0.235	3.3588642487232786e-222
CD3E	2.193616445095683e-198	1.8470140898230938	0.785	0.196	3.0083255928042196e-194
LDHB	9.862033436943426e-183	1.503506611602147	0.891	0.466	1.3524792655424216e-178
RPS3	1.6734980779198493e-161	0.6696904879905556	1	0.992	2.2950352640592815e-157
RPS12	1.6477717247205633e-151	0.7066028146764092	1	0.987	2.2597541432817805e-147
RPS27A	8.924916930537215e-135	0.803663417095323	0.998	0.95	1.2239631078538738e-130
IL7R	1.876586271308661e-133	1.672273753085604	0.635	0.178	2.5735504124726977e-129
RPL3	3.476334803819472e-131	0.6137119323064733	0.999	0.993	4.767445549958024e-127
RPS25	7.176424912419461e-129	0.7072782822393506	0.998	0.965	9.84174912489205e-125
RPS6	1.3719028953389945e-123	0.5884922291542365	1	0.993	1.8814276306678971e-119
RPS15A	4.1157053337017737e-122	0.6341876197863456	0.997	0.977	5.644278294638612e-118
RPS27	7.420397700848088e-119	0.6238681855473835	0.999	0.988	1.0176333406943068e-114
RPL23A	1.1911821260389173e-117	0.6100486213479535	1	0.983	1.633587167649771e-113
RPL31	2.718760061833175e-112	0.6774208929050021	0.995	0.951	3.728507548798017e-108
CD2	6.722297640542259e-112	1.5763307821406043	0.527	0.116	9.218958984239655e-108
TPT1	1.6684470678483423e-110	0.6356310648498988	0.998	0.975	2.2881083088472165e-106
LCK	1.0705645554803934e-107	1.2975255989736718	0.578	0.151	1.4681722313858116e-103
RPL9	1.4195113847135524e-106	0.6572510457255509	0.996	0.96	1.9467179129961656e-102
MALAT1	6.246795752139339e-106	0.6303292180470024	1	0.999	8.56685569448389e-102
RPS14	1.4397210442788914e-104	0.49193998809843364	1	0.992	1.9744334401240717e-100
RPL27A	1.4122847183981382e-101	0.5248627276364344	0.998	0.983	1.936807262811207e-97
RPL21	2.111794101464815e-101	0.5747507173753883	0.998	0.987	2.8961144307488474e-97
RPS29	5.154382469552186e-98	0.7081522375944651	0.978	0.877	7.068720118743868e-94
RPS18	1.722124603563809e-95	0.5008984952905369	1	0.995	2.3617216813274077e-91
RPSA	2.403117410628411e-95	0.6515402598288382	0.992	0.926	3.2956352169358027e-91
EEF1A1	6.582749835281892e-95	0.4925842594022951	0.998	0.986	9.027583124105586e-91
RPL30	6.995420658104868e-95	0.590524551805931	0.998	0.972	9.593519890525015e-91
RPS3A	8.447035945536283e-91	0.630246828386853	0.997	0.965	1.1584265095708458e-86
RPLP2	2.0116601507988115e-89	0.5064565263723608	1	0.985	2.75879073080549e-85
RPL13A	8.30079718819007e-89	0.4389237823797911	1	0.999	1.138371326388386e-84
RPS4X	6.798930366790301e-85	0.47547852341237196	0.999	0.987	9.32405310501622e-81
RPLP0	1.5305250078406043e-83	0.6104829843183497	0.982	0.922	2.0989619957526046e-79
RPL14	3.4759081547670485e-81	0.46737716131725815	0.998	0.978	4.76686044344753e-77
RPS20	3.2664337699234364e-80	0.6063059598778651	0.988	0.922	4.479587272073001e-76
RPL13	3.1380521637957414e-79	0.42515087058854384	1	0.995	4.3035247374294797e-75
