gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FGFBP2	0	4.098851984461922	0.777	0.036	0
GZMH	0	4.021621507039199	0.795	0.023	0
GZMB	0	4.579459435131379	0.822	0.043	0
CST7	2.424108386842671e-272	3.435925909158077	0.955	0.112	3.324422241716039e-268
PRF1	1.5763363930402675e-257	3.7653969408144383	0.841	0.08	2.161787729415423e-253
GZMA	1.0591278608713689e-247	3.2810104663843283	0.928	0.116	1.4524879483989954e-243
NKG7	2.2625472432633627e-234	4.768298485393017	1	0.221	3.1028572894113754e-230
CCL4	2.7018229835134217e-202	3.4896604733297	0.659	0.053	3.705280039590307e-198
CTSW	9.48359546389519e-173	2.7471938075087032	0.932	0.229	1.3005802819185863e-168
SPON2	1.5977917460745647e-162	2.7420062594010624	0.5	0.033	2.191211600566658e-158
GNLY	2.8050302493252905e-150	4.6088441664506945	0.705	0.122	3.846818483924703e-146
KLRD1	4.041198373749009e-146	1.9662591417157056	0.413	0.021	5.542099449759391e-142
XCL2	3.044458683748551e-134	1.9234544616616627	0.371	0.017	4.175170638892763e-130
GZMM	9.343872830581451e-134	2.2176280906905292	0.788	0.184	1.2814187199859403e-129
PRSS23	3.5125305202467353e-129	1.5674005593805072	0.307	0.008	4.817084355466373e-125
AKR1C3	5.464363047839377e-126	1.8406373002347165	0.311	0.01	7.493827483806922e-122
CCL5	1.2437681895219349e-120	2.796780954140979	0.845	0.258	1.7057036951103816e-116
TTC38	1.8303564768048906e-120	1.7687211735040842	0.337	0.016	2.5101508722902268e-116
S1PR5	6.088668339437208e-119	1.5265277597908544	0.322	0.013	8.349999760704187e-115
B2M	1.930296892876169e-118	0.9649022506841121	1	1	2.6472091588903784e-114
CLIC3	2.0225052128880214e-118	2.2116855373841933	0.379	0.025	2.7736636489546325e-114
GPR56	1.6048944304173646e-117	1.473301105809671	0.284	0.008	2.200952221874374e-113
HLA-C	9.093923622128997e-115	1.2479085029296728	1	0.979	1.2471406855387708e-110
FCRL6	1.6251206520018817e-110	1.4919736781084751	0.277	0.009	2.2286904621553806e-106
FCGR3A	1.2431698699957617e-104	1.8284694982060063	0.67	0.132	1.7048831597121875e-100
APMAP	1.3009246669285003e-96	1.8184176877413876	0.504	0.08	1.7840880882257453e-92
HLA-A	2.973154808622123e-90	1.1355387486692736	1	0.962	4.077384504544379e-86
C1orf21	6.458858406946827e-90	1.2132283216658253	0.242	0.01	8.857678419286879e-86
CD247	1.168831783427234e-83	2.3235349670209273	0.693	0.221	1.6029359077921087e-79
MATK	4.805425312423306e-80	1.3843849801523822	0.348	0.039	6.590160273457322e-76
HOPX	3.927149360242718e-74	1.9504185408963686	0.508	0.109	5.3856926326368636e-70
TBX21	2.5205816015066603e-73	1.2288622840882013	0.261	0.021	3.456725608306234e-69
HLA-B	7.136018437715387e-72	0.9475980561426889	1	0.942	9.786335685482882e-68
XCL1	4.5865124024130444e-70	1.2179086519088878	0.216	0.012	6.289943108669249e-66
C12orf75	5.014507603080776e-69	1.5683747870842477	0.473	0.1	6.876895726864977e-65
KLRF1	1.1967269480275921e-68	1.0437305361797977	0.178	0.006	1.64119133652504e-64
PLEKHF1	3.842090341192451e-66	1.2536650864439438	0.258	0.024	5.269042693911327e-62
TPST2	1.8336736388269977e-65	1.6178251571588564	0.473	0.107	2.5147000282873445e-61
APOBEC3G	4.223396179517235e-62	1.8352537765664252	0.572	0.177	5.7919655205899366e-58
CD160	8.791935585568742e-62	1.4234904652920373	0.193	0.011	1.2057260462048972e-57
CD99	1.5380004041322344e-56	1.2670446047130244	0.837	0.47	2.1092137542269463e-52
CTSC	3.40012500360844e-55	1.3284655377246901	0.625	0.228	4.662931429948615e-51
SH2D1B	3.5193764938236906e-55	0.9397191587207242	0.163	0.008	4.8264729236298095e-51
PTPRCAP	4.427120053879735e-55	1.1140252595807785	0.917	0.611	6.071352441890669e-51
SAMD3	6.44844920909801e-54	1.6789363752657238	0.394	0.086	8.84340324535701e-50
PTGDR	8.263637356710266e-54	1.4972328312242251	0.235	0.026	1.133275227099246e-49
FASLG	2.258503539193264e-53	0.794659411283465	0.121	0.003	3.0973117536496424e-49
IL2RB	3.1199205151890626e-53	1.2955921364551055	0.284	0.042	4.278658994530281e-49
RARRES3	1.9294967194655454e-51	1.3107748207633838	0.792	0.436	2.646111801075049e-47
PFN1	5.415358731099953e-51	0.9272993770965954	0.989	0.941	7.426622963830475e-47
KLRG1	8.199268039535014e-50	1.364721096184081	0.383	0.085	1.124447618941832e-45
CHST12	2.1723837483852633e-49	1.4333992857482656	0.379	0.088	2.9792070725355503e-45
IFNG	1.6316642763901043e-48	0.9143124096758409	0.155	0.01	2.237664388641389e-44
ITGB2	2.569038474009066e-48	1.437119043291445	0.773	0.438	3.5231793632560333e-44
HCST	7.924118239891751e-48	1.3287956686702147	0.807	0.511	1.0867135754187547e-43
SRGN	2.6069519635012604e-47	1.0206942223009157	0.886	0.567	3.5751739227456286e-43
IGFBP7	4.614458506388099e-46	2.128471073911599	0.307	0.062	6.32826839566064e-42
TIGIT	8.658445151005887e-46	1.2228689029178337	0.277	0.046	1.1874191680089472e-41
PLEK	4.3828573743080265e-42	1.3640181387327162	0.443	0.14	6.010650603126027e-38
UBB	7.743339888087903e-39	1.0135395526140285	0.905	0.769	1.061921632252375e-34
MYL12A	1.1680550093060125e-38	0.7686394324413599	0.973	0.863	1.6018706397622654e-34
CX3CR1	3.7286504199816547e-38	1.0790745093286314	0.273	0.055	5.113471185962841e-34
RAMP1	7.205259066587639e-38	0.7398234936008472	0.11	0.005	9.881292283918288e-34
RAP1B	3.980512158740653e-37	1.0817236409887332	0.644	0.332	5.458874374496932e-33
HLA-E	4.179110772731798e-37	0.9184695523900501	0.966	0.879	5.7312325137243876e-33
ZAP70	5.0083573962972684e-37	1.1827066916974953	0.386	0.117	6.868461333282074e-33
ARPC5L	4.616553769886437e-36	1.4807106598784412	0.439	0.158	6.331141840022259e-32
KIR3DL2	9.059616400202168e-36	0.7299773182862885	0.11	0.006	1.2424357931237253e-31
SH2D2A	9.231155570928797e-36	1.0596110322863765	0.231	0.042	1.2659606749971752e-31
ASCL2	2.428715016813428e-35	1.0644103832757796	0.239	0.046	3.330739774057935e-31
MYO1F	6.785221107646505e-34	1.1800977732095472	0.5	0.208	9.305252227026417e-30
NCR3	8.938945811680696e-33	1.2018021310226263	0.295	0.072	1.2258870286138907e-28
