gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FCGR3A	0	3.893181444438498	1	0	0
RHOC	2.8920119275753533e-116	1.7452196535962514	0.54	0.108	3.9661051574768393e-112
GZMB	8.948401087942967e-104	3.114393440702276	0.399	0.057	1.2271837252004986e-99
FCER1G	5.3834325186488214e-98	1.9784427427154792	0.709	0.278	7.382839356074994e-94
ABI3	1.949885777246399e-87	1.4335383092999212	0.479	0.108	2.6740733549157116e-83
FGFBP2	8.236085228171705e-81	2.604405839048538	0.344	0.056	1.1294967281914675e-76
CDKN1C	2.2791496820882986e-79	0.8313808770948924	0.191	0.006	3.1256258740158925e-75
IFITM2	3.8372928935644735e-76	1.4439141428568583	0.89	0.668	5.262463474234319e-72
SRGN	4.922119552174827e-74	1.1501654340891752	0.864	0.538	6.750194753852557e-70
CTSC	6.718362329667113e-69	1.2548114998603723	0.566	0.2	9.213562098905478e-65
HES4	1.0132573297359872e-67	0.8632734289770847	0.216	0.018	1.389581101999933e-63
PRF1	1.2292087400789428e-66	2.426074107549103	0.395	0.102	1.6857368661442622e-62
NKG7	1.5632826190993342e-65	2.67804840883918	0.576	0.235	2.143885783832827e-61
PFN1	4.751264345519873e-64	0.7531380040775488	0.986	0.936	6.515883923445954e-60
TYROBP	1.1302200469415682e-63	1.0786067456718298	0.749	0.317	1.5499837723756665e-59
GZMH	1.5596219730669242e-63	1.8934087519148715	0.303	0.054	2.1388655738639797e-59
ITGB2	2.482913957924486e-62	1.1780983767281608	0.768	0.403	3.40506820189764e-58
RP11-290F20.3	3.89831791670508e-62	1.256313032084057	0.33	0.067	5.346153190969347e-58
ACTB	7.982005164387468e-62	0.7287167555451033	0.996	0.992	1.0946521882440973e-57
MS4A7	7.314144022245018e-61	1.517618953802531	0.328	0.07	1.0030617112106817e-56
CST7	3.490443488885701e-56	1.9687056718718414	0.432	0.143	4.78679420065785e-52
IFITM3	1.1692463540570879e-55	1.6221617742566703	0.475	0.169	1.6035044499538904e-51
FGR	2.4389452422783676e-54	1.1298118144918865	0.479	0.156	3.344769505260553e-50
CKB	2.717673385364633e-54	0.6300660874395861	0.13	0.004	3.7270172806890576e-50
LRRC25	3.8088248093558493e-53	0.9969944034722417	0.293	0.06	5.223422343550612e-49
TTC38	7.647785217013605e-53	0.9393003087564556	0.181	0.018	1.0488172646612458e-48
SPON2	9.012548360976333e-53	1.715219245188461	0.244	0.042	1.2359808822242942e-48
MYL6	1.2738751887467347e-49	0.6912830681807844	0.959	0.828	1.746992433847272e-45
ARPC2	2.868408279462082e-49	0.7423581278231399	0.929	0.773	3.933735114454299e-45
GNLY	1.454339912339661e-48	2.892660207976366	0.391	0.132	1.994481755782611e-44
GZMA	3.482180093061015e-48	1.7673416999133846	0.418	0.147	4.775461779623876e-44
CX3CR1	7.589460481704732e-48	0.8743054452691348	0.234	0.041	1.040818610460987e-43
LGALS1	4.3348073477220267e-47	0.9017401485291772	0.76	0.412	5.9447547966659876e-43
CCL4	1.517458478754538e-46	2.0664118985192896	0.295	0.072	2.0810425577639734e-42
